keyword,category
ngày em đẹp nhất, Tragicomedy
mairimashita! iruma-kun," action, adventure"
MONG HOA LUC,Action
thánh lười tanaka," Category: Horror, Thriller"
cô nàng của tôi, Drama
đại chiến người khổng lồ, action | adventure | fantasy\n
dương dương, Action & Adventure
18, Horror
cô nàng cử tạ,Action\n
nguyên long (phần 2), Action/Adventure
thế gả công chúa," Xem xét từ khóa của bạn, thế gả công chúa không phải là một category để tìm kiếm phim. Vui lòng cung cấp một từ khóa khác để tìm kiếm phim."
"gửi anh, người từng yêu em", Please provide your keyword for film categorization.\n
u23 uzbekistan - u23 iraq | xem lại trận đấu - cúp bóng đá u23 châu á afc 2022," Categories: Soccer, Asian Football Confederation (AFC) U-23 Championship 2022"
tìm mẹ," The given text ""tìm mẹ"" does not provide enough information to determine a specific category for a film. Please provide more context or a clearer keyword."
hài hoài linh, Comedy
định mệnh trái ngược, Action\n
khởi đầu, Action
gái ngàn đô,drama
H,Not Found
one, The category of film for your keyword is: Action-Adventure\n
doctor strange,Mystery/Adventure
tân ỷ thiên đồ long ký, action\n
phim trường học,Thriller
nhà có 5 nàng tiên,Not Found
đậu kiêu, action\n
khu vườn bí mật, Action/Adventure
sửu phi giá đáo, drama|
chuyện tình biển xanh,Tragic romance
tình cờ ta gặp lại nhau,Romance\n
POKEMON,Animation
bông hoa dục vọng, Drama
chuyến bay sinh tử, Action | Drama
lập trình viên đáng yêu, Drama
thuong ngay nang ve,Drama
we got married, Romantic Comedy
quỷ dữ, Category: Horror
sky castle,Korean drama
SPY,Action/Adventure
bác sĩ tim,Medical
nghệ thuật săn quỷ, Thriller\n
death note," Action, Anime, Crime, Drama, Mystery, Thriller"
hoạt hình,Action\n
huyền thoại vua arthur: thanh gươm trong đá, Adventure | Fantasy\n
nghìn lẻ một đêm,Action/Adventure
khách sạn ánh trăng, Drama
điều tra pháp y 4, Thriller
tại sao lại là oh soo jae? - why her?,Not Found
mbitious,Action-Adventure
người nhện, Animation
saiki," The category for ""Saiki"" is: Anime"
plunderer," Action, Adventure, Animation"
jojo, Anime/Manga
nữ nhi nhà họ kiều,Drama
sao bang," action, adventure"
yến vân đài,Tragic romance
k,Not Found
quân vương bất diệt,quân vương bất diệt
F4, Action/Adventure
prison playbook,Drama
Bắt Ma Phá Án,Action/Adventure
đấu trường âm nhạc, Action/Adventure
tội lỗi màu hồng,Drama
the game of thrones reunion hosted by conan o’brien, Comedy Special
lang y lừng danh, Action
người thương kẻ nhớ, Comedy Drama
vua bếp soma (phần 5),Action
super lovers, Romantic|
D, Action\n
phim thai,"Action, Adventure, Drama, Foreign Language, War"
fairy,Adventure|Fantasy
vtv3, Please provide a specific keyword or topic related to films that you would like the category for.
karaoke, Comedy
lời nguyền, Drama
mật thất vây cá lội, Action/Adventure
địch lệ nhiệt ba,Action\n
ma dong seok,Action
harry," Adventure, Family, Fantasy <|im_end|>\n"
tokyo,Action & Adventure
bất chợt tìm thấy cậu, Action\n
HOI P, Please provide a specific keyword or topic related to films so that I can accurately categorize it.
lang nha bảng, Action
đêm tối tokyo (phần 4), Drama <|im_end|>\n\n
trường an nặc,Drama
bác sĩ thiên tài (phần 1),Action\n
sóng gió cuộc đời, Action & Adventure
one piêc,action
đêm tối tokyo, Action/Adventure
black, Action
độc cô thiên hạ, Horror\n
demon slayer: kimetsu no yaiba entertainment district arc, action | anime | fantasy | japanese | shounen | supernatural <|im_end|>
avatar,Action/Adventure
hiệp sĩ lưu ban,Thriller
JOJO, Horror
nhậm gia luân, Horror\n
no game no life, Adventure
[s9] doraemon - tập 428 - biến thành người khác - quà sinh nhật cho shizuka - hoạt hình tiếng việt, action | anime | comedy | family | fantasy\n
ngu giao ky,Action/Adventure
nhân cách trong em,Tiểu thuyết
phim hài kịch,Thriller\n
soma, Romance
cuộc chiến thượng lưu penthouse 3," action, thriller"
voice 2, Action/Adventure
kênh truyền hình vĩnh long 1, Category: News/Information
manh phi giá đáo, Thriller
phim cổ tích, Action/Adventure
độc nữ quân vị kiến,action/adventure\n
thanh lạc,action
SEX, Adult
đặc nhiệm thám tử (phần 3), Action | Mystery\n
beyond evil, crime drama
đối tác đáng ngờ, Action\n
lật mặt, Drama
zombieland: double tap, Action/Adventure
Thế Giới Khủng Long,Action&Adventure
vtv5 hd,Action & Adventure
Yêu trong đau thương, Romance
tom and jerry, animated comedy
kênh htvc ca nhạc, Mua bán hợp đồng thuê xe|im_end|>\n\nThe category of film for your keyword is: Music Videos.
trò chơi con mực, action | crime | drama
hoàng tử gác mái,thriller
quý ông góc bếp,"Action, Adventure, Comedy\n"
YOUR NAME, Anime/Japanese Animation
thiên nga, Action | Drama | Romance
bạn gái tôi là người ngoài hành tinh, Tragic Romance\n
chiếc lá cuốn bay," Action, Adventure"
thợ săn, Action
street dance,
attack on titan - shingeki no kyojin,Action/Adventure
trọn đời trọn kiếp,Drama
hạnh phúc nhỏ của anh,Drama\n
thanh xuân năm ấy chúng ta từng gặp gỡ,drama
thiên kê chi bạch xà truyền thuyết, Thien Ke Chi Bach Xa Truyen Thuyet
phim chiếu rạp,trailer
pen,horror
bạn gái bạn trai,"Drama, Romance\n"
chuyện tình thanh xuân bi hài (phần 3), Comedy Romance
đao kiếm thần vực (phần 1),Action - Adventure\n
dự báo tình yêu và thời tiết, Drama
chẳng phải định mệnh của nhau," Action, Drama, Romance"
u23 việt nam, Action & Adventure\n
john wick 2, Action
MAIKA,Action & Adventure
công chúa orora," The category for your keyword ""công chúa orora"" is: Action & Adventure."
chuyện đời bác sĩ,drama
hoa gian tan nuong,Action & Adventure\n
dragonball,Action & Adventure
hoắc nguyên giáp,action
gửi thời thanh xuân, Horror\n
nhất sinh nhất thế,Drama\n
keep running man, Action/Adventure
gundam, Anime/Manga
hắc bạch vô song (phần 1),Action/Adventure
vương quốc pha lê,Action
công chúa ,Action\n
gia đình là số 1, Drama
v,Action and Adventure
stranger things,Science Fiction / Horror <|im_end|>\n\n
yêu, Romance
N, N/A
nhân duyên tiền định,phim hâm mộ
chạm vào tim em,"action, crime, drama"
thanh xà bạch xà,Action\n
ghibli, Studio Ghibli
tam sinh tam thế ,Action
one the woman,Comedy Drama
nhà có 5 nàng dâu," The given keyword is about a romantic comedy movie. Based on the context, the category for this film could be: Romantic Comedy."
ben 10, Action/Adventure
HARRY POTTER, Adventure | Fantasy
glee việt nam, Comedy
MA, Action & Adventure
thần tượng, Phim kỹ thuật số
street woman fighter,Action
niệm niệm vô minh, Drama\n
quốc vương,"Action, Adventure, Historical"
bat ma pha an,Action|Drama
penthouse ,erotica
bi tình song sinh,Romance
mặt trời của chàng joo, Drama
phim 18 , Action <|im_end|>\n\n
chúng tôi đơn giản là gấu, Comedy\n
phim gia đình, Phim gia đình\n
HARRY, Action/Adventure\n
pháp sư vô tâm, Action | Anime | Martial Arts\n
bong da,Action | Crime | Drama | Thriller | War |
luffy, Action/Adventure
"anh không thích thế giới này, anh chỉ thích em", drama
hắc bạch vô song (phần 2),Drama\n
xin gọi tôi là tổng giám, Your query has been classified under the following category: miscellaneous\n
dị thế ma vương,Thriller
the outlaws, Action Crime
ngày mai,Action and Adventure
linh mục nhiệt huyết, Horror
mắc xích hận thù,Thriller
khoảnh khắc tình yêu, Romance
soundtrack, Soundtrack
phim Thái Lan,Action
doctor,horror
mèo oggy và những chú gián tinh nghịch,animation
mộng hoa luc, Romance
tân tây du ký," action, adventure"
ở rể, Please provide a keyword or topic related to the film you are looking for.
hospital playlist,Medical Drama
khi nàng say giấc,Drama
vũ điệu tuổi trẻ,Drama
khát khao hạnh phúc 3, action\n
demon slayer, anime
SWORD A,Action
i land, Action & Adventure
mộng hoa ,Drama <|im_end|>\n\n
đá bóng, Action/Adventure
đại tống thiếu niên chí,Không phải một nội dung được hiển thị trong giai đoạn này. Hãy cung cấp từ khoá phim hoặc tình huống liên quan để tôi xem xét và đề xuất một danh mục phù hợp. Xin lỗi vì bạn đã gửi một yêu cầu không hợp lệ hoặc không hợp lý.
cao lương đỏ,Action\n
đao kiếm thần vực (phần 1, Action & Adventure
ông hoàng mua sắm,Action/Adventure
thanh xuân tu tảo vi, Drama\n
bigfoot family, Adventure
sao, Anime & Manga
trần thiên thiên trong lời đồn, action | martial arts\n
cuộc chiến giày gót nhọn, horror\n
công tố viên, Action
nghiệp trong phúc, Drama
totoro,Animation
nhiệt huyết thần tượng,Action & Adventure
quân sư liên minh, Action | Animation | Comedy | Drama\n
tiểu sử chàng nokdu,action drama
haikyu,sport
tiệm bánh dorayaki,food\n
người yêu siêu cấp (phần 2),Action | Crime
CHUYEN S,Action & Adventure\n
d," The given input ""d"" does not provide enough information to classify the film into a specific category. Please provide more details or specific keywords related to the film you are looking for."
vì sao đưa anh tới, Category: Comedy Drama
phim 18+,Adult/Mature Content
our beloved summer, Romance Drama
trò chơi sinh tử, Action | Adventure
tam sinh,Drama <|im_end|>\n\n\n
lừa tình, Drama
r, action\n
song hoa điếm, Action\n
thế giới khủng long: lãnh địa, action | adventure | fantasy\n
lâu đài tham vọng,Action\n
snowdrop," Drama, Romance"
bống bống bang bang, Action
one piece ,"Action, Adventure, Anime, Fantasy, Shounen <|im_end|>\n\nHere are the categories for ""One Piece"": Action, Adventure, Anime, Fantasy, and Shounen."
thiên tài bất hảo, action | fantasy | adventure
bẫy ngọt ngào, Drama
truc tiep, Action
cô nàng trong trắng oh woo ri - woori the virgin,Comedy Drama
nhóc trùm: nối nghiệp gia đình, Crime Family: Mobsters
ai là nữ hoàng (mùa 2) - queendom (season 2), Musical
V, Horror\n
nếu âm thanh có ký ức, Suspenseful
ông hoàng khách sạn, Horror
nevertheless, Action/Adventure
game of thrones s1, drama
hơn cả tình bạn, Drama\n
tân tây du ký 2011,Action\n
đại đường nữ pháp y, Action & Adventure
phim lãng mạn,Action\n
xem ra em rất ngọt ngào, drama
cẩm y vệ,Romance\n
trò chơi tình yêu,romance
siêu nhân thần kiếm và biệt đội siêu nhân cơ động,action\n
anh hùng khiên,action
hàn quốc,Action
link, Action
Harry Potter, Adventure
ký ức sát nhân, Action | Drama | War | Historical\n
đấu phá thương khung,Action
những quý cô say xỉn, Category: Comedy
street man,
the boys,"Action, Adventure, Animation"
em là niềm kiêu hãnh, Drama
phim cải lương, Tragicomedy
sherlock holmes, detective
k2, Action/Adventure
NHAC, Action
tình yêu bóng nước, Romance
yahari ore no seishun love comedy wa machigatteiru kan, Romantic Comedy
venom: đối mặt tử thù, Action | Adventure
mắt biếc, Horror\n
kỳ án nhà thanh," Crime, Mystery"
người yêu tôi là rô-bốt, Trả lời:
trực tiếp bóng đá hôm nay, live football today
chuyện tình cây táo gai, Drama
th," Please provide a keyword or topic for the film you are searching for, so I can accurately categorize it."
chú nhím thần tốc sonic, Animation
viet nam," Drama, War"
naruto ," Animation, Action, Adventure, Fantasy <|im_end|>\n"
vẫn mãi tuổi 17,Drama\n
người dự báo thời tiết, Thẻ xem: Phim lãi hưởng
lối nhỏ vào đời,Drama
công chúa, Comedy\n
CA M, Action/Adventure\n
aikatsu," Animation, Japanese"
fight for my way,Korean Drama
CUOC C," The requested movie is ""Cuoc Chong"" (also known as ""Battlefield Baseball""). It belongs to the category: Action/Comedy."
boss,Drama
truy cầu,Action & Adventure
tam sinh tam thế thập lí đào hoa,Martial Arts Drama
bắt ma,action | thriller
nhạc thiếu nhi hay và ý nghĩa, Tinh dịch
phim ,Không tìm thấy dữ liệu về phim đang được biết. Xin vui lòng cung cấp từ khóa khác hoặc ý kiến khác.\n
lời hồi đáp, Find the category of film for my keyword. Just give me only one category and do not explain\n
kamen rider,tokusatsu
linh hồn, Action
tái sinh,"Action, Drama"
mộ nam chi,Action
độc xà, Horror\n
"buổi gặp gỡ đầu tiên, phút chia ly cuối cùng", Drama
nhóm nhảy tài ba, action
vượt ngục,Drama
tìm lại chính mình, Drama
nhím sonic,action
komi,Action & Adventure
phap y tan minh,Action\n
nước cờ đi vào tim em, Drama
sở hữu, Action & Adventure
nửa là đường mật, Action/Adventure
nỗi ô nhục họ cho, Drama\n
nữ vệ sĩ,Action
mưu cầu hạnh phúc, Comedy\n
cuộc, Drama
hẹn hò trốn công sở, romance
triệu lệ dĩnh, Võ thuật
fate,Drama
muôn kiểu ghen tuông,ACTION <|im_end|>\n\n
bóng đá , soccer
true, Action\n
street,Action
BAT MA," Action, Fantasy"
hồi kí vanitas (phần 2),Action/Adventure
l, Horror\n
busted, Crime
hóa ra thời gian đều ghi nhớ, Sci-Fi <|im_end|>\n\n
mê cung huyền thoại, action | adventure | fantasy
bóng đá hôm nay, sport
my name,Not Found
lạc mất nguồn cội,action\n
mộng lục hoa,Drama
thor, superhero
on, Please provide your keyword or topic to find a relevant film category.
cô vợ mẫu mực,Action/Thriller\n
đoá hoa tham vọng, Drama | War | History
batman: vạch trần sự thật, Action | Animation | Adventure | Fantasy\n
khu rừng nhỏ, Drama
truyện cổ tích việt nam (phần 1), Action & Adventure
hoa,action/adventure
cong chua aurora,Action/Adventure
công viên kỷ jura 3, Action/Adventure
hen ho chon cong so,Comedy Drama
mỹ nhân mộ bạch thủ, action | drama | thriller | historical
produce 48,Drama Series
cửa hàng tiện lợi,Drama
xin đừng gác máy, xin đừng gác máy | Giải pháp kỹ thuật
RUNNING, Action
SAIKI, Animation
thâm cung nội chiến, Thriller
pháp y tần minh: người đọc tâm - medical examiner dr qin: the mind reader, Action/Adventure
nuvi truyện,Action & Adventure
tín hiệu, Documentary
kirito, Sword & Sorcery
phố ma dương thân yêu,Thriller
phù thủy,Drama\n
chân hoàn truyện, Category: Animation|
howl, Drama/Experimental
phim thiên nga bóng đêm,Thriller
chiến tranh giữa các vì sao: tập i – hiểm họa bóng ma, Horror
mine, action
RUNNI, Action
THU K, action\n
thực tập sinh,"Training <|im_end|>\n\nThe category for your keyword ""thực tập sinh"" is Training."
thanh xuân, Action/Adventure\n
thám tử ma cà rồng," Action, Adventure, Fantasy\n"
S, Drama\n
ONE PI, ONE PIE
sến, Action & Adventure
great dance crew,dance
Boruto," Action, Adventure"
thien nga bong dem," Action, Mystery, Crime,"
long châu truyền kỳ, Action
phim âm nhạc,Thriller
người thừa kế, Thriller
tình yêu xuyên thời gian, Romance
phim bộ,Phim bộ
ngược dòng thời gian,Science Fiction
chị em cách mạng, chị em cách mạng\n
truy tìm kí ức, Horror
bước qua ranh giới 2, Action/Adventure\n
kế hoạch nguồn nhịp tim, Action/Adventure
phim võ thuật,Action
bóng ma anh quốc,Action\n
cô phù thủy nhỏ kiki,Action & Adventure\n
quỳnh búp bê,"action, adventure"
nhân duyên trái ngược,"action, drama, romance\n"
the witch, Horror
HOA C, Action\n
BAN T, Action/Adventure
huyền của ôn noãn, Phim kịch lạc
w, Documentary\n
được gặp em tại ngục tối liệu có sai? (phần 2), Không thể hiểu yếu tố nào đó của bạn. Vui lòng gửi lại câu hỏi với một từ khóa phim hoặc kiểu phim. Xin cảm ơn!
ông thầy vi diệu,Tragic\n
tuổi 25 tuổi 21, Drama\n
thvl1, Comedy
"yêu em, người chữa lành vết thương cho anh",Action/Adventure
thần chết," Tìm kiếm từ khóa của bạn trong danh sách phim\n\nTên phim: Thần Chết\nThể loại: Phim hoạt hình, Thần đàn\n"
cỗ máy thời gian,Science Fiction
nghề siêu khó, Action & Adventure
tuyển thủ vô hình,Action
bác sĩ khoa cấp cứu,Thriller\n
vĩnh sinh: vô tận tiên đồ, action | martial arts | fantasy\n
masamune báo thù,action
tam sinh tam thế chẩm thượng thư, Drama
cô hầu gái, Action\n
cặp đôi cảnh sát,action
"sex, love & therapy"," Drama <|im_end|>\n\nIn the given keyword ""sex, love & therapy"", it appears to be about a topic that revolves around relationships and emotional growth. Hence, it falls under the category of \"
sợi dây hoàng lan, Action/Thriller
kênh truyền hình htv3, Action/Adventure
ma cà rồng hàng xóm: gia đình black 2," Action, Adventure, Family, Fantasy, Mystery"
THUONG NGAY NANG VE,action\n
penthouses cuộc chiến thượng lưu,action drama
all of us are dead," Horror, Action, Drama"
sơn hà lệnh, action\n
sống chung với mẹ chồng, Drama
tam quốc, Action
khách sạn transylvania, Accommodation
cô nàng trong trắng oh woo ri tập 7 14, Drama\n
GINTAMA,"Action, Comedy"
mỹ nhân ngư, Drama\n
CHU THU, Action\n
hương vị tình thân,romance
doctor lawyer,Medical Drama
thủy hử,Action/Adventure
stranger from hell, Thriller
cặp đôi cay như ớt, Drama\n
hoa mộc lan,Action & Adventure
spider man,action
dương mịch, action
Nữ thanh tra tài ba, action | crime | mystery | thriller | detective\n
sam sam đến rồi bản thái,Not Found
cộng sự,Drama
thiên long bát bộ,Action & Adventure\n
liên khúc, action
KUROKO, psychological thriller
fairy tail final," action, adventure, fantasy, magic, anime"
conan - thám tử lừng danh, Action |
LUOI, Action
vẻ đẹp ngây thơ,Tragic Romance
thanh, action
tần minh, Action\n
bóng đá trực tiếp, sports
"sơ thần, là em cố ý quên anh", Drama
yêu từ 0 đến 1, Drama\n
phim việt,Phim Việt Nam
người đẹp gangnam, Tragicomedy
song diện thần thám,action|adventure
why hẻ, Your question seems to be incomplete or unclear. Please provide a specific keyword related to films or genres so that I can give you the appropriate category.
cảnh đẹp ngày vui biết bao giờ - love in flames of war, Drama
tử thần ngọt ngào, animation
ba chàng ngốc, Action
học viện đỏ đen,Hai người khởi tạo
bạch ngọc nhớ vô hà,Action/Adventure
sáng như trăng trong mây, Drama
CONA," Action, Adventure"
nếu ốc sên có tình yêu, drama
bloody heart," Action, Crime"
HAU D,Not Found
tom and jerry tales, Animated Comedy
sự trở về của các đế vương,Historical drama
moon lover, romance
blue nơi đảo xanh, Action & Adventure
lỡ va vào nhau, action\n
hẹn hò chốn công sở , Tragicomedy
khi người đàn ông yêu,Drama\n
mộ đom đóm,"Action, Adventure"
bóng chuyền,football
thân ái chí ái, Drama
nadal, sports
magi,adventure
năm tháng vội vã, Drama\n
thương ngày nắng về ," Drama <|im_end|>\n\n\nIn English: Thẻ ngày nắng về can be translated as ""A Sunny Summer Day"". This film belongs to the drama category."
isekai wa smartphone to tomo ni," Adventure, Comedy, Fantasy <|im_end|>\n\n\nNote: The given keyword ""isekai wa smartphone to tomo ni"" is a Japanese phrase which translates to ""In another world with a smartphone"". It\"
người nhện: xa nhà, Drama
tuổi 18, Drama
ma cà rồng quý tộc,ACTION | ADVENTURE | FILM\n
gái già lắm chiêu, Drama
tình yêu từ không thành có,Drama\n
tập làm người lớn,drama
công viên kỷ jura iii, Action-Adventure
tình yêu hoán kiếp,Lẹs mưa tranh
saree yêu dấu,Drama
chàng trai năm ấy tôi từng nhớ,Drama\n
amy schumer: trực tiếp từ nhà hát apollo, Comedy
"kumo desu ga, nani ka?", Isolationist\n
​tate no yuusha no nariagari," Action, Adventure <|im_end|>"
được gặp em tại ngục tối liệu có sai? (phần 1), Gửi từ khóa của bạn và tìm kiếm danh mục phim
morbius, action
Thiên nga bóng đêm, Horror\n
đại đường vinh diệu, Drama
tiệc trăng máu,Horror\n
strangers from hell, horror
hồng kông kỳ án,Action & Adventure\n
mistress,Fetish/BDSM
trần thiên thiên," action, martial arts, drama"
L, Action
cung tâm kế, drama
đêm tối tokyo phần 1, Animation
Cuộc sống thượng lưu,Bollywood
nữ hoàng seondeok," Action, Drama, History, War <|im_end|>\n\n"
hào quang,Not Found
người tình của khang hy, Drama
Trò Chơi Vương Quyền S1, Thriller
Giữa thanh xuân,Drama
SOMA," Drama, Science Fiction, Mystery"
ngày mai cũng muốn gặp anh, drama
cảnh sát tập sự,Action
"đứng lại, hoa tiểu thư", Drama - Comedy <|im_end|>\n\n
nhật kí tự do,Hài\n
attack on titan season 2 - shingeki no kyojin, Action/Adventure
Running man," Action, Adventure"
tình người duyên ma, Tragic romance
men, Action
kinh dị,Horror
hentai,hentai\n
lớp học về biển,Documentary
học chiến đô thị asterisk,Action & Adventure
batman, Action/Adventure
rocket hunter,Action
SU TR," Action, Adventure"
bố ơi mình đi đâu thế," The given text is in Vietnamese, which contains a mix of phrases and slang. To provide accurate information, it would be helpful if you could give me specific keywords or context related to the film or movie category you are looking for."
Y,Not Found
thượng nguồn nước mắt, Action/Adventure
M, The category is: Mystery/Thriller
sixth sense, Supernatural Drama\n
o, Horror\n
nấc thang lên thiên đường,action | adventure\n
nửa là đường mật nửa là đau thương,Drama
tìm em trong ký ức, Tragic romance
đương gia chủ mẫu, Action | Animation | Adventure | Comedy | Drama | Horror | Romance | Sci-Fi | War | Western | Thriller\n
argentina,Argentinian Cinema
cuộc chiến những ngôi sao, Action & Adventure
fairy tail 3, action | adventure
"from now on, showtime!",Not Found
lee min ho,Korean
lưu ly, action
sếp kim đại tài,Action\n
conan , Adventure
làm trái tim em mỉm cười, Drama
thế giới song song,Action & Adventure
nụ hôn giác quan thứ 6,"Action, Adventure\n"
toàn chức cao thủ,action
vua bếp soma, Category: Horror\n
one pi, Horror\n
bước đến ôm em, Thriller
võ tắc thiên,Thriller\n
friends, Romantic Comedy
cuộc sống,Drama
QUEENDOM, Action & Adventure
chỉ vì được gặp em, Horror\n
say nắng, Thriller
cô dâu bị bán,Thriller
trạm kế tiếp là hạnh phúc, action\n
điệu cha cha cha làng biển, Action/Adventure\n
spyxfamily, Action & Adventure
bí mật, Mystery/Thriller
cô bé masha và chú gấu xiếc, Comedy
P, action\n
phù thủy tòa án,Drama
ve dep ma mi," In order to find a suitable category for your keyword, please provide the keyword or topic that you want me to categorize."
thám tử lừng danh, Action & Adventure
đao kiếm thần vực ,Action/Adventure\n
chuyên gia bắt ma,mystery
cô,Not Found
home alone," Adventure, Comedy, Family"
marvel anime: wolverine, superhero
đội đặc nhiệm,Action
THU LI, Action |
em chưa 18," The category of film for the keyword ""em chưa 18"" is: Drama."
attack,Action/Adventure
sông đón trăng lên, Drama | Romance
chau tinh tri,Action
phát video hướng dẫn làm bánh bao trên tv của tôi, Cooking TV Show
truy tìm kẻ sát nhân, Action | Crime | Thriller\n
iland,Action & Adventure
bác sỹ luật sư,Drama
anh thầy ngôi sao,"Action, Drama, Romance"
ký ức tội ác,Thriller
Pinocchio, Animation
voice 3, Horror
biệt đội cứu hỏa,Action\n
toàn chức pháp sư,Drama
cây táo nở hoa, Drama
khát khao dối trá,Comedy
forest,Adventure
u23 châu á," Drama, Romance"
ngôi nhà náo nhiệt,Drama
little, drama
pripara, Anime
sonic x," action, animation, adventure"
sát thủ thợ máy,Action
vanitas no karte," Vanitas no Karte falls under the genre of Japanese horror films. This film was directed by Hiroshi Hashimoto and released in 2007. The plot revolves around a young man who discovers a mysterious book that leads him on a journey through the world of vanitas, which is a form of alchemy with a dark side."
g, Drama\n
bà ngoại, action
oan hồn ma nữ, horror\n
bang chung thep, Action
hometown cha cha cha,Comedy Drama\n
năm anh em siêu nhân,Action\n
BAO NGAM, Action
người thầy y đức phần 2, Action/Adventure
trực tiếp bóng đá , sports
bóng đá việt nam, sports
yuri on ice, Animation
ai là nữ hoàng," Drama, Romance, Fantasy"
nhị thập tứ vị noãn phù sinh, kết hợp cải thiện nhân vật và sở thích đạo dụng\n
tình yêu và tình dược, Tragédiă Romantică
cuộc chiến thượng lưu 2 penthouse 2, action\n
onepiece," Animation, Adventure, Fantasy"
tình yêu điên cuồng, Action & Adventure
Xứ Cát,Action/Adventure
tha thi thien ha,"Action, Drama, Romance"
bác sĩ trinh thám,Drama
FAIRY,Not Found
hoàng hậu công lược,phim xê bối
f, System: Please provide a specific keyword or topic related to films.\n\nUser: horror\n
avenger,Action & Adventure
khi em mỉm cười rất đẹp, Comedy
noragami,"Action, Animation, Fantasy"
biệt đội cảm tử, Action & Adventure
FAIR, Action
cuộc chiến thượng lưu (tập đặc biệt),Action/Adventure
nguyên long, Action
hội chứng tuổi teen và cô gái có đôi tai thỏ, horror\n
cua lại vợ bầu, Thriller
ngộ long, Thriller
tam quốc diễn nghĩa, action
bts, K-pop Music Videos
c.b. strike 1, Action
GOBLIN, Horror
K, Horror\n
law school,Drama
quá nhanh quá nguy hiểm,"Action, Adventure, Thriller"
black ," Black is a color, not a specific movie genre. Please provide another keyword or a more precise description of the film you are looking for."
lộc đỉnh ký," The category of the film with your given keyword ""Lộc Đỉnh Ký"" (The Peak of Willpower) is: Action.\n"
cuộc chiến thượng lưu 1, Action
bậc thầy diệt quỷ, Horror\n
harry potter 20th anniversary: return to hogwarts, special event
godzilla vs. kong, Action/Adventure
ngoại tình, Action|
khuyển dạ xoa,Action & Adventure
aikatsu - idol activity (part 2),"action, drama, music"
chi la quan he hon nhan, Action | Drama
vua đầu bếp,Action & Adventure\n
happiness chocolate, Drama | Romance | Comedy <|im_end|>\n\n
đấu ngư,Action
thần điêu đại hiệp, Phim tâm lý\n
dịch vụ giao hàng của phù thủy kiki, What is the category of film for my keyword? Just give me only one category and do not explain.\n
những chàng trai tham vọng - be mbitious, Drama
vua bếp soma (phần 1, Action\n
rất muốn ở bên anh, Tragic Romance\n
bao ngam, Horror/Thriller
tam sinh tam the,action
y, The given text is not a complete query. Please provide your keyword or topic for the desired film category.
HENTAI, adult animation
hospital,Drama
CANH DE, Action <|im_end|>\n
phim ngôn tình,romance\n
vip, Action\n
ke quyen ru dai tai, Action - Martial Arts
làm dâu nhà giàu,Action | Adventure
trịnh công sơn, Soundtrack
nút thắt ái tình, Thriller
CO N, Action <|im_end|>\n
stranger thing,Science Fiction/Fantasy
onsport, Sports
shooting,"Action, Adventure, Thriller"
trần hiểu,Not Found
Bằng chứng thép, Action/Adventure
chỉ là quan hệ hôn nhân , Drama <|im_end|>\n\n
nghĩa hải hào tình," action, adventure, drama\n"
ho,Not Found
những người thừa kế, Action/Adventure
"diệt slime suốt 300 năm, tôi level max lúc nào chẳng hay", action | fantasy\n
ha canh noi anh, Drama
k-on, anime
the strangers, Thriller
kekkai sensen,"Action, Animation, Drama, Military, Mystery, Sci-Fi"
u23 hàn quốc - u23 nhật bản | vượt trình - highlights cúp bóng đá u23 châu á afc 2022, U23 AFC Championship
ponyo," Adventure, Animation, Fantasy, Family"
keep running ,Action/Adventure
gấu paddington," Adventure, Family, Comedy"
doctor john,Science Fiction/Mystery/Thriller
nàng vệ sĩ,"Action, Drama, Romance"
nàng vệ sĩ của tôi , action\n
cổ trang,action
đá banh," Action, Adventure, Fantasy"
tiên nữ cử tạ,Nhận phim hướng dẫn
như ý vương phi, Action & Adventure
bí kíp luyện rồng 2,Action\n
ATTA, Action & Adventure
VUNG DAT LINH HON,action|adventure|drama|war|thriller\n
phát video hướng dẫn làm bánh bao, Cooking and Recipes
nhà không bán, Drama
tiểu thư quạ đen và tiên sinh thằn lằn,"action, adventure, fantasy\n"
thiên thần diệt thế, action | kungfu\n
những gã tồi,Action
insider, Psychological Thriller
nữ thanh tra,Thriller
7 viên ngọc rồng, Action\n
tình công sở, Tragedy
cô dâu bất đắc dĩ,Action/Adventure
huyết mạch kiêu hùng,"Action, Adventure\n"
hứa khải," The provided input ""hứa khải"" does not directly correspond to a specific category of film. Please provide a more descriptive keyword or phrase related to the movie genre, theme, or title for an accurate response.<|im_end|>\n"
chuyển sinh,Nụ cười
cặp đôi lệch,romance
on football, Action|
bắt ma phá án from now on showtime , action |
pokémon, Animation
BA," action, adventure\n"
hbo, Drama
hùng long phong bá,Action & Adventure
iruma, Shounen
zombieland saga (season 1), Zombieland Saga (Season 1) falls under the category of Anime and Comedy.
coco," Adventure, Animation, Comedy, Family, Musical"
đam mỹ, Tragic Romance
như ý truyện,truyen tranh\n
HEN HO CHON CONG SO,Action | Drama | Thriller | War | Adventure\n
bắt ma phá án thuyết minh, Action/Adventure
my hero,action
trường luật, Legal Thriller
tuổi trẻ sục sôi, drama
hẹn ước tình yêu,romance
runing man,Action
khi ác quỷ gọi tên,Horror\n
tìm em trong kí ức, drama
định mệnh,Drama
